Date,Price,Open,High,Low,Vol.,Change %
2024-08-07,146.69,144.35,147.9,144.31,,1.66%
2024-08-08,147.28,146.67,147.55,145.43,,0.40%
2024-08-09,146.61,147.29,147.82,146.27,,-0.45%
2024-08-12,147.19,146.74,148.24,146.7,,0.40%
2024-08-13,146.82,147.2,147.96,146.6,,-0.25%
2024-08-14,147.31,146.84,147.59,146.07,,0.33%
2024-08-15,149.27,147.33,149.4,147.05,,1.33%
2024-08-16,147.58,149.29,149.36,147.57,,-1.13%
2024-08-19,146.57,147.66,148.06,145.19,,-0.68%
2024-08-20,145.25,146.6,147.36,145.2,,-0.90%
2024-08-21,145.26,145.26,146.61,144.45,,0.01%
2024-08-22,146.26,145.25,146.55,144.85,,0.69%
2024-08-23,144.37,146.29,146.5,144.05,,-1.29%
2024-08-26,144.52,144.24,144.66,143.45,,0.10%
2024-08-27,143.95,144.53,145.19,143.92,,-0.39%
2024-08-28,144.57,143.98,145.06,143.68,,0.43%
2024-08-29,144.98,144.61,145.57,144.22,,0.28%
2024-08-30,146.16,144.98,146.26,144.66,,0.81%
2024-09-02,146.9,146.19,147.19,145.78,,0.51%
2024-09-03,145.47,146.9,147.21,145.16,,-0.97%
2024-09-04,143.73,145.48,145.57,143.71,,-1.20%
2024-09-05,143.44,143.74,144.25,142.85,,-0.20%
2024-09-06,142.27,143.45,143.92,141.78,,-0.82%
2024-09-09,143.17,142.23,143.81,141.95,,0.63%
2024-09-10,142.43,143.15,143.73,142.2,,-0.52%
2024-09-11,142.35,142.47,142.55,140.71,,-0.06%
2024-09-12,141.79,142.36,143.06,141.72,,-0.39%
2024-09-13,140.82,141.82,141.88,140.28,,-0.68%
2024-09-16,140.6,140.75,140.92,139.57,,-0.16%
2024-09-17,142.4,140.62,142.48,140.32,,1.28%
2024-09-18,142.27,142.42,142.73,140.44,,-0.09%
2024-09-19,142.62,142.29,143.95,141.89,,0.25%
2024-09-20,143.91,142.63,144.51,141.74,,0.90%
2024-09-23,143.6,143.94,144.46,143.17,,-0.22%
2024-09-24,143.21,143.62,144.7,143.12,,-0.27%
2024-09-25,144.75,143.23,144.85,142.9,,1.08%
2024-09-26,144.8,144.76,145.23,144.11,,0.03%
2024-09-27,142.19,144.82,146.5,142.07,,-1.80%
2024-09-30,143.62,142.24,143.94,141.64,,1.01%
2024-10-01,143.56,143.63,144.55,142.97,,-0.04%
2024-10-02,146.46,143.57,146.52,143.43,,2.02%
2024-10-03,146.92,146.47,147.25,146.29,,0.31%
2024-10-04,148.71,146.94,149.01,145.92,,1.22%
2024-10-07,148.18,148.73,149.14,147.85,,-0.36%
2024-10-08,148.19,148.19,148.39,147.34,,0.01%
2024-10-09,149.29,148.2,149.38,148.01,,0.74%
2024-10-10,148.56,149.31,149.56,148.35,,-0.49%
2024-10-11,149.13,148.57,149.29,148.4,,0.38%
2024-10-14,149.75,149.14,150.01,149.07,,0.42%
2024-10-15,149.19,149.76,149.84,148.85,,-0.37%
2024-10-16,149.62,149.2,149.84,148.87,,0.29%
2024-10-17,150.2,149.64,150.34,149.23,,0.39%
