Date,Price,Open,High,Low,Vol.,Change %
2024-05-01,8.9142,8.7829,9.001,8.7653,,1.54%
2024-05-02,8.8946,8.9232,8.9343,8.8134,,-0.22%
2024-05-03,8.8532,8.9032,8.9568,8.8519,,-0.47%
2024-05-06,8.8033,8.8708,8.8749,8.7968,,-0.56%
2024-05-07,8.7835,8.808,8.8315,8.7724,,-0.22%
2024-05-08,8.7739,8.7878,8.8233,8.7601,,-0.11%
2024-05-09,8.7798,8.7791,8.8187,8.7602,,0.07%
2024-05-10,8.7939,8.7868,8.8087,8.7644,,0.16%
2024-05-13,8.7448,8.8042,8.8132,8.7423,,-0.56%
2024-05-14,8.7246,8.7502,8.7709,8.7153,,-0.23%
2024-05-15,8.735,8.7293,8.7869,8.6832,,0.12%
2024-05-16,8.6775,8.7376,8.7915,8.6675,,-0.66%
2024-05-17,8.6829,8.6875,8.7242,8.6663,,0.06%
2024-05-20,8.7027,8.6965,8.737,8.6854,,0.23%
2024-05-21,8.7271,8.713,8.7504,8.6891,,0.28%
2024-05-22,8.7036,8.7367,8.752,8.6998,,-0.27%
2024-05-23,8.7125,8.714,8.7374,8.6665,,0.10%
2024-05-24,8.6991,8.7217,8.747,8.6915,,-0.15%
2024-05-27,8.668,8.707,8.7262,8.6732,,-0.36%
2024-05-28,8.669,8.678,8.6953,8.6464,,0.01%
2024-05-29,8.6895,8.6788,8.7112,8.6572,,0.24%
2024-05-30,8.7652,8.7009,8.8147,8.683,,0.87%
2024-05-31,8.7826,8.7755,8.8499,8.7521,,0.20%
2024-06-03,8.777,8.792,8.8125,8.7328,,-0.06%
2024-06-04,8.8633,8.7864,8.9101,8.7625,,0.98%
2024-06-05,8.765,8.8738,8.8796,8.7676,,-1.11%
2024-06-06,8.7625,8.7765,8.8087,8.7369,,-0.03%
2024-06-07,8.7973,8.7726,8.8149,8.7175,,0.40%
2024-06-10,8.7463,8.8052,8.8241,8.7444,,-0.58%
2024-06-11,8.7683,8.7542,8.7899,8.7471,,0.25%
2024-06-12,8.7401,8.7779,8.8019,8.7273,,-0.32%
2024-06-13,8.7574,8.7486,8.7951,8.7122,,0.20%
2024-06-14,8.7792,8.7655,8.8311,8.7095,,0.25%
2024-06-17,8.7383,8.7901,8.797,8.7429,,-0.47%
2024-06-18,8.7311,8.7486,8.7777,8.7339,,-0.08%
2024-06-19,8.7342,8.7413,8.7707,8.73,,0.04%
2024-06-20,8.7581,8.7444,8.775,8.7313,,0.27%
2024-06-21,8.6786,8.7623,8.7694,8.6857,,-0.91%
2024-06-24,8.6854,8.6871,8.738,8.6755,,0.08%
2024-06-25,8.7055,8.6888,8.7344,8.6703,,0.23%
2024-06-26,8.6602,8.7135,8.7271,8.6586,,-0.52%
2024-06-27,8.6232,8.6703,8.6917,8.6184,,-0.43%
2024-06-28,8.5824,8.6325,8.6386,8.5496,,-0.47%
2024-07-01,8.5614,8.5855,8.6048,8.5512,,-0.24%
2024-07-02,8.5833,8.5669,8.6075,8.5557,,0.26%
2024-07-03,8.5748,8.5888,8.6136,8.5699,,-0.10%
2024-07-04,8.5579,8.5817,8.5941,8.5441,,-0.20%
2024-07-05,8.5634,8.5594,8.6164,8.5362,,0.06%
2024-07-08,8.5998,8.5714,8.6195,8.5648,,0.43%
2024-07-09,8.5715,8.6102,8.6212,8.564,,-0.33%
2024-07-10,8.5517,8.5781,8.5945,8.5484,,-0.23%
2024-07-11,8.6322,8.5595,8.7131,8.5161,,0.94%
2024-07-12,8.6996,8.6408,8.7383,8.6052,,0.78%
2024-07-15,8.7584,8.7104,8.8007,8.6796,,0.68%
2024-07-16,8.7313,8.7647,8.7735,8.718,,-0.31%
2024-07-17,8.8259,8.7389,8.8473,8.7049,,1.08%
2024-07-18,8.7965,8.8341,8.881,8.7943,,-0.33%
2024-07-19,8.8166,8.8059,8.845,8.7856,,0.23%
2024-07-22,8.8321,8.8276,8.8788,8.8093,,0.18%
2024-07-23,8.8978,8.8396,8.9129,8.8254,,0.74%
2024-07-24,8.9804,8.9082,9.0227,8.88,,0.93%
2024-07-25,8.9778,8.9899,9.1198,8.9457,,-0.03%
2024-07-26,9.001,8.9884,9.0438,8.9558,,0.26%
2024-07-29,8.9624,9.0031,9.03,8.963,,-0.43%
2024-07-30,9.0516,8.9719,9.0664,8.926,,1.00%
2024-07-31,9.1278,9.0618,9.16,8.9859,,0.84%
2024-08-01,9.1657,9.1288,9.2027,9.0479,,0.42%
2024-08-02,9.2571,9.1754,9.2808,9.1532,,1.00%
2024-08-05,9.4744,9.2701,9.6514,9.2663,,2.35%
2024-08-06,9.5221,9.4881,9.5687,9.3662,,0.50%
